Occurrences	Hindawi (5594310)	Giga (5594256)	lemma#pos	Gloss	Answer1 - Egyptian	Answer2 - Syrian	Answer3 - Saudi Arabian	readability (rounded average)
14	0.00%	100.00%	كِيرُوسِين#noun	kerosene	4	5	5	5
14	57.14%	42.86%	لَبّ#verb	remain	5	5	5	5
14	14.29%	85.71%	لِبْدَة#noun	mane;felt_hat#manes;felt_hats	5	5	5	5
14	92.86%	7.14%	لَذْع#noun	burning;combustion	4	4	3	4
14	78.57%	21.43%	ماسِح#noun	shoeshine	5	5	4	5
14	100.00%	0.00%	ماشِطَة#noun	hairdressers;coiffeuses#hairdresser;coiffeuse	5	5	4	5
14	92.86%	7.14%	ماشَى#verb	go_alongside;act_in_unison_with	5	4	4	4
14	42.86%	57.14%	مِتْراس#noun	barricades#bolt;barricade	5	4	5	5
14	78.57%	21.43%	مُتَراصّ#adj	compressed;compacted;joined_together;aligned	5	5	4	5
14	50.00%	50.00%	مُتَرَجِّل#noun	infantry;foot_soldiers	5	5	5	5
14	7.14%	92.86%	مُتَسامِح#adj	tolerant;indulgent	3	3	2	3
14	28.57%	71.43%	مُتَسَلِّل#noun	infiltrator	3	2	3	3
14	14.29%	85.71%	مُتَطَلِّب#noun	demanding;requiring	4	4	4	4
14	35.71%	64.29%	مُتَلاعِب#noun	bribable;venal	4	5	4	4
14	78.57%	21.43%	مُتَمَوِّل#noun	financier;underwriter;funding_source	5	5	4	5
14	85.71%	14.29%	مُتَوارِي#adj	hidden	5	5	5	5
14	85.71%	14.29%	مِثْقال#noun	weight;miskal#weights;miskals	4	3	3	3
14	100.00%	0.00%	مُجْدِب#noun	barren;sterile;unproductive	5	5	5	5
14	42.86%	57.14%	مُجَفَّف#adj	dried;desiccated	3	2	2	2
14	85.71%	14.29%	مَحار#noun	oysters;shellfish;mother-of-pearl	4	3	3	3
14	100.00%	0.00%	مَحَجَّة#noun	destinations;procedures#destination;procedure	5	5	5	5
14	64.29%	35.71%	مُحَرِّض#adj	agitating;instigating	4	4	4	4
14	14.29%	85.71%	مُحَوِّل#adj	converting;transforming	4	3	4	4
14	14.29%	85.71%	مُخْتَطِف#noun	hijacker	3	3	2	3
14	50.00%	50.00%	مُخَطِّط#adj	planner	4	4	3	4
14	64.29%	35.71%	مُخْمَلِيّ#adj	velvety	4	3	4	4
14	92.86%	7.14%	مَدْحُور#adj	expelled;banished	5	5	5	5
14	35.71%	64.29%	مُدْخَل#noun	introduction	5	5	4	5
14	85.71%	14.29%	مُذ#prep	since	4	3	4	4
14	100.00%	0.00%	مُراح#noun	pasture;visited_place	5	5	5	5
14	71.43%	28.57%	مُرَدِّد#adj	repeating;reiterating	4	4	3	4
14	100.00%	0.00%	مَرِس#noun	experienced;veteran	5	5	5	5
14	92.86%	7.14%	مَرْهُوب#adj	dreadful;terrible	5	4	4	4
14	100.00%	0.00%	مُرْيَة#noun	doubt;quarrel;dispute	5	5	5	5
14	35.71%	64.29%	مِزاجِيّ#adj	mood;state_of_mind	4	3	3	3
14	100.00%	0.00%	مَزاهِر#noun	lute-like_instrument;tambourine	5	4	5	5
14	28.57%	71.43%	مُزَيَّن#adj	adorned;decorated	2	1	2	2
14	7.14%	92.86%	مُسْتَخْلَص#noun	extract;excerpt	4	4	4	4
14	14.29%	85.71%	مُسْتَفاد#adj	profited;deduced;inferred	4	4	3	4
14	42.86%	57.14%	مُسَيْطِر#noun	ruler;sovereign	3	2	2	2
14	42.86%	57.14%	مُشَبَّع#adj	satiated;saturated;charged	5	5	4	5
14	57.14%	42.86%	مُشْتَرَى#noun	purchased_goods	5	5	4	5
14	100.00%	0.00%	مِشْجَب#noun	clothes_hook	5	5	5	5
14	92.86%	7.14%	مُشَعْشَع#adj	tipsy	5	5	5	5
14	100.00%	0.00%	مَصْدُور#noun	tubercular	5	5	5	5
14	0.00%	100.00%	مَصْلَحِيّ#adj	administrational;governmental	5	5	5	5
14	14.29%	85.71%	مُصَنَّف#noun	compilation	5	5	5	5
14	0.00%	100.00%	مُضارَبَة#noun	speculation	5	4	5	5
14	85.71%	14.29%	مَضْحَكَة#noun	laughingstock;object_of_ridicule	4	3	3	3
14	100.00%	0.00%	مُضْطَرِم#noun	burning;blazing	5	5	5	5
14	50.00%	50.00%	مُطْبَق#adj	closed	5	4	4	4
14	85.71%	14.29%	مَطْرُوق#adj	much-traveled;well-trodden	5	5	5	5
14	100.00%	0.00%	مُظَهِّر#noun	endorser	5	5	5	5
14	92.86%	7.14%	مُعاتَبَة#noun	censure;reprimand	3	2	2	2
14	100.00%	0.00%	مُعَرْبِد#adj	quarrelsome;contentious	5	5	5	5
14	7.14%	92.86%	مُعَرْقِل#adj	obstructing;impeding	4	3	4	4
14	71.43%	28.57%	مُعْيِي#adj	tired;exhausted	5	5	5	5
14	71.43%	28.57%	مَغْرِيّ#adj	glued	5	5	5	5
14	100.00%	0.00%	مَغْشَى#noun	destination	5	5	5	5
14	92.86%	7.14%	مُغَلَّظ#adj	binding;sacred	5	5	5	5
14	57.14%	42.86%	مَفْزَع#noun	refuge;sanctuary#refuge;sanctuary;scarecrow	5	5	5	5
14	0.00%	100.00%	مُقاوَلَة#noun	contracts;deals;bargains;settlements	5	5	5	5
14	100.00%	0.00%	مُقَبَّع#adj	wearing_a_hat	5	5	5	5
14	35.71%	64.29%	مَقْسَم#noun	compartment;distribution#compartments;distribution	4	4	3	4
14	85.71%	14.29%	مِقْصَلَة#noun	guillotine	5	4	5	5
14	35.71%	64.29%	مَقْلَب#noun	dumping_ground	5	5	5	5
14	57.14%	42.86%	مُقَوِّي#adj	strengthening	3	3	2	3
14	7.14%	92.86%	مُكْتَشَف#adj	discovered	3	3	2	3
14	7.14%	92.86%	مِكْواة#noun	ironing_irons#ironing_iron	1	1	1	1
14	64.29%	35.71%	مَكِين#adj	strong;influential	5	5	5	5
14	78.57%	21.43%	مُلاصِق#noun	companion;neighbor;adherent	4	5	4	4
14	0.00%	100.00%	مَلْحَظ#noun	observations;remarks;statements	5	5	5	5
14	64.29%	35.71%	مُلْهَم#adj	inspired	5	5	4	5
14	100.00%	0.00%	مَلْهُوف#adj	worried;eager;desirous	5	4	4	4
14	21.43%	78.57%	مُناوِئ#noun	opponent;antagonist	5	5	5	5
14	64.29%	35.71%	مُنْبَطِح#noun	prostrate;lying_down	4	3	4	4
14	14.29%	85.71%	مُنْضَمّ#adj	affiliated;annexed;comprising	3	3	2	3
14	85.71%	14.29%	مُنْطَوِي#adj	withdrawn;introverted	4	4	3	4
14	0.00%	100.00%	مَنْهِيّ#adj	forbidden;illicit	5	4	4	4
14	78.57%	21.43%	مَهْضُوم#adj	oppressed;outraged	5	5	5	5
14	85.71%	14.29%	مَوَّه#verb	have_abundant_water;add_water;dilute	4	5	5	5
14	78.57%	21.43%	مَيْسَرَة#noun	left_wing;left_side#comfort;affluence#left_wings;left_sides	5	4	4	4
14	42.86%	57.14%	ناهِض#adj	conclusive;indisputable	5	5	5	5
14	85.71%	14.29%	نَبَه#verb	be_well_known	5	5	4	5
14	85.71%	14.29%	نَسَم#noun	breath	5	5	5	5
14	100.00%	0.00%	نَشَج#verb	weep	5	5	5	5
14	28.57%	71.43%	نَصّاب#adj	deceitful;fraudulent	1	2	2	2
14	57.14%	42.86%	نَصّاب#noun	swindler;impostor	1	2	2	2
14	71.43%	28.57%	نَقاهَة#noun	recovery;convalescence	4	3	4	4
14	14.29%	85.71%	نَيْزَك#noun	meteors#meteor	3	2	3	3
14	85.71%	14.29%	هاذِي#adj	delirious	5	5	4	5
14	0.00%	100.00%	هَوّارِيّ#adj	volunteer;irregular_soldier	5	5	5	5
14	42.86%	57.14%	هَيَجان#noun	disturbance;agitation;commotion	5	4	5	5
14	0.00%	100.00%	هَيِّر#noun	imprudent;rash	5	5	5	5
14	64.29%	35.71%	هِيرُوغلِيفِيّ#adj	hieroglyphic	5	5	4	5
14	57.14%	42.86%	واءَم#verb	agree_with;be_suited_to;harmonize_with	5	5	4	5
14	100.00%	0.00%	واثَب#verb	fall_upon	5	5	4	5
14	100.00%	0.00%	وَبَش#noun	trash;nonsense	5	5	5	5
14	50.00%	50.00%	وَعْكَة#noun	indisposition;sultriness	4	3	3	3
14	78.57%	21.43%	يارْدَة#noun	yard	5	5	5	5
14	28.57%	71.43%	يافِع#noun	adolescent;teenager	4	3	4	4
13	7.69%	92.31%	أُوتُوماتِيكِيّ#adj	automatic	4	3	4	4
13	84.62%	15.38%	إِلْباس#noun	clothing;dressing	4	3	4	4
13	0.00%	100.00%	إِيمِيل#noun	e-mail	2	2	3	2
13	76.92%	23.08%	تَصْفِيف#noun	arranging;hairdressing	3	3	3	3
13	0.00%	100.00%	تَعاقُدِيّ#adj	contractual	4	5	4	4
13	53.85%	46.15%	تَنْزِيل#noun	reduction;subtraction	1	1	2	1
13	30.77%	69.23%	رَمَش#noun	conjunctivitis	3	3	4	3
13	61.54%	38.46%	زَمالَة#noun	companionship;comradeship	3	4	3	3
13	84.62%	15.38%	شافِع#noun	mediator;intercessor	4	3	4	4
13	46.15%	53.85%	غَلَق#verb	lock_or_bolt_shut	4	3	4	4
13	23.08%	76.92%	فَرَز#verb	sort_out;select;classify	4	3	3	3
13	0.00%	100.00%	فَرْمَل#verb	apply_the_brakes	4	4	3	4
13	61.54%	38.46%	قَصِيد#noun	main_point;essence;gist	5	5	5	5
13	69.23%	30.77%	مُوجَز#noun	summary;abstract	4	3	4	4
13	7.69%	92.31%	هِيدرُوجِين#noun	hydrogen	4	3	4	4
13	84.62%	15.38%	آق#verb	bring_bad_luck;cause_hardship	5	5	5	5
13	92.31%	7.69%	أَبَر#verb	sting;pollinate	5	5	5	5
13	92.31%	7.69%	أَبَق#verb	escape;flee	5	5	5	5
13	23.08%	76.92%	أَثَّث#verb	furnish	4	4	3	4
13	100.00%	0.00%	أَخْفَت#verb	silence;make_silent	4	3	3	3
13	76.92%	23.08%	أَخْلَد#verb	eternalize;perpetuate;remain#be_eternalized;be_perpetuated	4	4	3	4
13	69.23%	30.77%	أَرْخَص#verb	cheapen	4	4	3	4
13	69.23%	30.77%	أَرَّض#verb	ground_(antenna,_airplane);earth	5	5	5	5
13	23.08%	76.92%	أَزَجّ#noun	having_beautiful_eyebrows	5	5	5	5
13	46.15%	53.85%	أَسالَة#noun	elliptic;oval	5	5	5	5
13	100.00%	0.00%	أَسْرَج#verb	braid;saddle	5	4	5	5
13	69.23%	30.77%	أَسَكّ#adj	deaf	5	5	5	5
13	84.62%	15.38%	أَشَب#noun	alloy	5	5	5	5
13	100.00%	0.00%	أَشْزَر#adj	askance_looking;distrustful	5	5	5	5
13	15.38%	84.62%	أَطْرَف#adj_comp	more/most_curious	3	4	4	4
13	100.00%	0.00%	أَغْثَى#verb	nauseate;disgust	5	5	5	5
13	69.23%	30.77%	أَغَمّ#noun	overcast	5	5	5	5
13	100.00%	0.00%	أَفّاك#noun	liar	3	4	4	4
13	100.00%	0.00%	أَفْتَن#adj_comp	more/most_charming	3	4	4	4
13	53.85%	46.15%	أَلْجَم#verb	restrain;bridle#be_restrained;be_bridled	4	4	4	4
13	30.77%	69.23%	أَلْمَعِيّ#adj	bright;shrewd	5	5	4	5
13	69.23%	30.77%	أَماط#verb	remove;pull_away;draw_back#be_removed;be_pulled_away;be_drawn_back	3	3	2	3
13	84.62%	15.38%	أَنْجَد#verb	help;support	3	2	3	3
13	92.31%	7.69%	أَنْشَر#verb	resurrect	5	4	5	5
13	92.31%	7.69%	أَوْلَع#verb	kindle;light;set_fire_to#be_enamored;fall_in_love	3	3	2	3
13	0.00%	100.00%	ٱِبْتِكارِيّ#adj	original;inventive	3	3	3	3
13	100.00%	0.00%	ٱِجْتَلَى#verb	reveal;disclose#be_revealed;be_disclosed	5	4	4	4
13	61.54%	38.46%	ٱِحْتَدّ#verb	be_angry;be_agitated	4	4	4	4
13	30.77%	69.23%	ٱِحْتَفّ#verb	surround	5	5	5	5
13	100.00%	0.00%	ٱِخْتِلاجَة#noun	convulsion;twitch	5	5	5	5
13	38.46%	61.54%	ٱِرْتِحال#noun	departure;exodus;demise	4	4	3	4
13	76.92%	23.08%	ٱِرْتَدَع#verb	be_prevented	4	4	3	4
13	15.38%	84.62%	ٱِسْتِباحَة#noun	appropriation;seizure	4	4	3	4
13	46.15%	53.85%	ٱِسْتِحْثاث#noun	encouragement;urging;incitement	5	5	4	5
13	100.00%	0.00%	ٱِسْتَخْلَف#verb	appoint_as_successor	5	4	4	4
13	53.85%	46.15%	ٱِسْتَدام#verb	make_last;continue	4	4	3	4
13	53.85%	46.15%	ٱِسْتِقْراء#noun	investigation;examination;exploration	4	5	5	5
13	84.62%	15.38%	ٱِعْوِجاج#noun	curvature;bending	4	4	3	4
13	76.92%	23.08%	ٱِمْتَشَق#verb	snatch_away;unsheathe	5	5	5	5
13	69.23%	30.77%	ٱِمْتَنّ#verb	be_grateful	4	3	4	4
13	7.69%	92.31%	ٱِنْبِهار#noun	being_dazzled;being_blinded	3	3	2	3
13	69.23%	30.77%	ٱِنْبَهَر#verb	be_dazzled;be_blinded	3	3	2	3
13	100.00%	0.00%	ٱِنْتَهَب#verb	seize	5	5	5	5
13	23.08%	76.92%	ٱِنْجَرّ#verb	be_pulled;be_dragged;be_towed	4	5	4	4
13	0.00%	100.00%	ٱِنْجِراف#noun	erosion	4	3	4	4
13	53.85%	46.15%	ٱِنْدَحَر#verb	be_driven_away;be_defeated;collapse	4	4	3	4
13	0.00%	100.00%	ٱِنْضاف#verb	be_added	4	3	4	4
13	38.46%	61.54%	ٱِنْعِتاق#noun	self-liberation	5	5	5	5
13	0.00%	100.00%	ٱِنْهِزامِيّ#adj	defeatist	4	4	3	4
13	100.00%	0.00%	إِسْطَقِس#noun	element	5	5	5	5
13	53.85%	46.15%	إِضْبارَة#noun	file;dossier#files;dossiers	5	4	5	5
13	46.15%	53.85%	إِضْرام#noun	kindling;exciting	5	4	5	5
13	84.62%	15.38%	إِغْفاء#noun	nap;siesta;sleepiness	4	5	5	5
13	15.38%	84.62%	باحِث#adj	searching	4	4	3	4
13	61.54%	38.46%	باذّ#noun	slovenly;squalid	5	5	5	5
13	100.00%	0.00%	باطِيَة#noun	pitchers;jugs#pitcher;jug	5	5	5	5
13	84.62%	15.38%	بَحْبُوح#noun	merry	4	5	4	4
13	0.00%	100.00%	براغْماتِيّ#noun	pragmatist;realist	5	5	5	5
13	92.31%	7.69%	بَرَّم#verb	twist;twine	4	5	5	5
13	0.00%	100.00%	برُوتُوكُولِيّ#adj	protocol	5	4	5	5
13	15.38%	84.62%	بُشْت#noun	cloak	5	5	5	5
13	46.15%	53.85%	بِلاش#noun	gratis	2	1	1	1
13	0.00%	100.00%	بَنَّج#verb	anesthetize;narcotize	1	1	2	1
13	0.00%	100.00%	بُنْيَوِيّ#adj	structural	4	5	4	4
13	61.54%	38.46%	بُورِي#noun	bugle;signal_horn	5	5	5	5
13	84.62%	15.38%	تَأَجُّج#noun	blazing;burning	4	4	5	4
13	92.31%	7.69%	تَأَنَّس#verb	be_accustomed;be_familiar	5	5	4	5
13	100.00%	0.00%	تَأَنُّس#noun	incarnation	5	5	5	5
13	69.23%	30.77%	تَباشِير#noun	first_signs;precursors	5	5	4	5
13	15.38%	84.62%	تَبْصِير#noun	fortune_telling	4	3	4	4
13	38.46%	61.54%	تَجاوَر#verb	be_adjacent	4	4	3	4
13	100.00%	0.00%	تَحامَى#verb	shun;avoid	5	5	5	5
13	61.54%	38.46%	تَخْمَة#noun	indigestion	4	3	4	4
13	7.69%	92.31%	تَخْوِيل#noun	endowing;granting;bestowing;	5	4	5	5
13	0.00%	100.00%	ترانْزِيت#noun	transit;temporary_residence	5	5	5	5
13	100.00%	0.00%	تَرَحَّب#verb	welcome	5	5	4	5
13	0.00%	100.00%	تَرَسَّخ#verb	be_firmly_rooted;be_anchored	4	4	4	4
13	100.00%	0.00%	تَرَشَّف#verb	drink;sip	4	3	4	4
13	30.77%	69.23%	تَرَصُّد#noun	observing;watching;following;tracking	4	4	4	4
13	30.77%	69.23%	تَرْوِيض#noun	domesticating;pacifying;regulating	4	3	4	4
13	0.00%	100.00%	ترِيلِيُون#adj	trillion	3	4	4	4
13	61.54%	38.46%	تَزَعُّم#noun	leadership;leading	3	4	3	3
13	23.08%	76.92%	تَضاؤُل#noun	scarcity;lack;paucity	4	4	3	4
13	92.31%	7.69%	تَطَعَّم#verb	taste	1	5	3	3
13	92.31%	7.69%	تَطَوَّح#verb	fall;be_destroyed	2	3	3	3
13	0.00%	100.00%	تَعْرِفَة#noun	tariff	5	5	5	5
13	0.00%	100.00%	تَعْصِير#noun	modernization	5	5	5	5
13	61.54%	38.46%	تَعَلْمَن#verb	be_secularized	5	5	5	5
13	0.00%	100.00%	تَفْخِيخ#noun	booby-trap	4	3	4	4
13	76.92%	23.08%	تَقادَم#verb	be_old;be_antiquated	5	5	4	5
13	0.00%	100.00%	تَماشِي#noun	in_accordance_with;in_conformity_with	4	4	4	4
13	92.31%	7.69%	تَمَلَّص#verb	get_rid_of;be_released;shirk	5	4	5	5
13	100.00%	0.00%	تَنافَر#verb	avoid_each_other;clash;be_incompatible	4	4	3	4
13	38.46%	61.54%	تَناقَص#verb	decrease_gradually	2	3	2	2
13	53.85%	46.15%	تَوارُث#noun	heredity	3	4	3	3
13	84.62%	15.38%	تَوافَى#verb	be_complete;concur	5	4	4	4
13	69.23%	30.77%	تَوَعُّد#noun	threat	4	4	3	4
13	100.00%	0.00%	ثَدْيِيّ#adj	mammal	3	2	3	3
13	92.31%	7.69%	ثَقَّب#verb	perforate;light;kindle	3	2	3	3
13	53.85%	46.15%	جَبَلايَة#noun	grotto;cave	4	5	5	5
13	7.69%	92.31%	جُزَيْء#noun	molecule	3	4	4	4
13	76.92%	23.08%	جُلْمُود#noun	boulders;rocks#boulder;rock	5	5	4	5
13	84.62%	15.38%	جَهِيد#noun	sought;worked_hard_for	4	4	3	4
13	46.15%	53.85%	جَوابِيّ#adj	answering	4	5	4	4
13	76.92%	23.08%	جَيَّر#verb	endorse	5	5	5	5
13	100.00%	0.00%	حَجْل#noun	anklets#leaping;skipping#anklet	5	5	5	5
13	61.54%	38.46%	حَدِي#verb	remain;not_move	5	5	5	5
13	92.31%	7.69%	حِراثَة#noun	cultivation;farming	2	3	3	3
13	69.23%	30.77%	حَرَّة#noun	stony_area;lava_field	5	5	5	5
13	100.00%	0.00%	حَرَن#verb	be_obstinate;be_headstrong;be_stubborn	5	4	5	5
13	15.38%	84.62%	حَسْو#noun	soup	4	5	5	5
13	53.85%	46.15%	حَشِيشَة#noun	herb	1	2	2	2
13	84.62%	15.38%	حَلَبِيّ#adj	from/of_Aleppo;Aleppan	3	2	3	3
13	53.85%	46.15%	حُلْوان#noun	gratuity;tip	5	4	5	5
13	92.31%	7.69%	حَنِيف#noun	orthodox	4	5	5	5
13	84.62%	15.38%	خَبْط#noun	beating;striking	1	2	1	1
13	100.00%	0.00%	خِدْمَتِيّ#adj	service-related;(public)_service	4	5	4	4
13	23.08%	76.92%	خُطُوبَة#noun	courtship;engagement	1	1	1	1
13	23.08%	76.92%	دال#noun	dal_(Arabic_letter)	1	1	1	1
13	92.31%	7.69%	دَرْدار#noun	elm	5	5	5	5
13	100.00%	0.00%	دَرَكَة#noun	lowest_level;descending_steps	5	5	5	5
13	84.62%	15.38%	دِنان#noun	wine_jug	5	5	5	5
13	92.31%	7.69%	دُنْيا#adj	near;low;inferior	3	4	4	4
13	92.31%	7.69%	دَهْرِيّ#adj	temporal;worldly	5	5	4	5
13	23.08%	76.92%	دِينامِيت#noun	dynamite	4	3	4	4
13	92.31%	7.69%	ذُخْر#noun	stored;hoarded	4	4	4	4
13	46.15%	53.85%	راجِم#noun	bomber;launcher	4	5	4	4
13	38.46%	61.54%	راضِع#noun	breast-feeding;suckling_infants#breast-feeding;suckling_infant	4	4	3	4
13	0.00%	100.00%	رامُوس#noun	grave;tomb	5	5	5	5
13	100.00%	0.00%	رَذْل#noun	rejection;repudiation	5	5	5	5
13	84.62%	15.38%	رَغِيد#adj	pleasant;carefree	4	3	4	4
13	84.62%	15.38%	رَفَل#verb	swagger	5	5	5	5
13	100.00%	0.00%	رَقْد#noun	subsiding;abatement;lying_down	4	4	3	4
13	0.00%	100.00%	رِمْش#noun	eyelashes	1	2	2	2
13	100.00%	0.00%	زَبانِيَة#noun	myrmidons	5	5	5	5
13	0.00%	100.00%	زَغْزَغ#verb	conceal;tickle	1	2	1	1
13	76.92%	23.08%	زَكَّى#verb	augment;nominate;recommend#be_augmented;be_nominated;be_recommended	4	5	4	4
13	53.85%	46.15%	زَوْل#noun	apparition;figure	5	5	5	5
13	100.00%	0.00%	سَغَب#noun	hunger;starvation	5	5	5	5
13	84.62%	15.38%	سَفِه#verb	be_foolish;be_insolent	4	4	4	4
13	100.00%	0.00%	سَمُج#verb	be_disgusting	5	5	4	5
13	92.31%	7.69%	سَمَل#verb	gouge	5	5	5	5
13	100.00%	0.00%	سُنُوح#noun	occurrence;coming_to_mind	4	5	5	5
13	84.62%	15.38%	سَيّال#adj	streaming;pouring;fluid	5	5	4	5
13	23.08%	76.92%	سِيرك#noun	circus	1	1	2	1
13	53.85%	46.15%	شارِي#adj	buying	1	2	2	2
13	15.38%	84.62%	شِبْل#adj	cadet;scout#cadets;scouts	4	5	5	5
13	92.31%	7.69%	شَحْناء#noun	rancor;enmity	5	4	4	4
13	100.00%	0.00%	شَدا#verb	chant;know#be_chanted;be_known	5	4	5	5
13	38.46%	61.54%	شِرْعَة#noun	law	5	5	4	5
13	53.85%	46.15%	شَرْي#noun	colocynth	5	5	5	5
13	23.08%	76.92%	شَطارَة#noun	cleverness	1	1	1	1
13	30.77%	69.23%	شُورِيّ#adj	advisory;consultative	5	5	4	5
13	100.00%	0.00%	صُدَيْرِيّ#adj	vest	4	3	3	3
13	100.00%	0.00%	صَفَّف#verb	arrange	4	3	3	3
13	100.00%	0.00%	صَقّال#noun	polisher;smoother	5	4	5	5
13	92.31%	7.69%	صَلْصَلَة#noun	jingle;rattle;clink	5	4	5	5
13	100.00%	0.00%	صَلْعَة#noun	bald_spot;bald_head	2	1	1	1
13	38.46%	61.54%	صَمِت#adj	silent	3	3	2	3
13	69.23%	30.77%	صِنْو#noun	twin	5	5	5	5
13	15.38%	84.62%	ضَخَّم#verb	amplify;enlarge;inflate	4	4	3	4
13	61.54%	38.46%	طَبِيعِيَّة#noun	physics#nature;naturalism	5	5	4	5
13	15.38%	84.62%	طَرابُلْسِيّ#adj	of/from_Tripoli_(Libya)	5	5	4	5
13	100.00%	0.00%	طُرْقَة#noun	road	2	3	3	3
13	100.00%	0.00%	طَغام#noun	populace;common_people	5	5	5	5
13	76.92%	23.08%	طُغْمَة#noun	band;clique	5	5	5	5
13	92.31%	7.69%	طَقّ#noun	cracking;bursting	4	3	3	3
13	84.62%	15.38%	طِمْر#noun	tatters	5	5	5	5
13	61.54%	38.46%	طَها#verb	be_cooked;be_stewed#cook;stew	3	2	2	2
13	61.54%	38.46%	طَوار#noun	sidewalk	5	5	5	5
13	100.00%	0.00%	طَواشِيّ#noun	eunuchs;castrati#eunuch;castrato	5	5	5	5
13	69.23%	30.77%	طُوبَى#noun	blessedness;beatitude	5	4	5	5
13	84.62%	15.38%	طَيْرَة#noun	agitation	5	5	4	5
13	100.00%	0.00%	عَتْل#noun	raising;carrying;transporting	5	4	5	5
13	38.46%	61.54%	عَجّاج#adj	clamoring;vociferous	5	5	5	5
13	61.54%	38.46%	عِرْبِيد#adj	quarrelsome;contentious	5	5	5	5
13	100.00%	0.00%	عَرِم#noun	violent;powerful	5	5	5	5
13	84.62%	15.38%	عَرِيف#adj	knowing;aware	5	4	4	4
13	0.00%	100.00%	عَفْوِيَّة#noun	spontaneity	4	4	4	4
13	92.31%	7.69%	عُقابِيّ#adj	aquiline;eagle-like	5	5	5	5
13	0.00%	100.00%	عَلّاق#noun	coat_hanger	5	5	4	5
13	76.92%	23.08%	عَلِيق#noun	fodder;provender	5	5	5	5
13	0.00%	100.00%	عُنُوسَة#noun	celibacy	4	3	3	3
13	61.54%	38.46%	غَثّ#noun	thin;meager	5	5	5	5
13	92.31%	7.69%	غَفَل#noun	negligence	5	5	4	5
13	0.00%	100.00%	غُورِيلّا#noun	guerrilla;gorilla	1	1	2	1
13	92.31%	7.69%	فاغِر#adj	gaping;wide_open	5	5	5	5
13	100.00%	0.00%	فالُوذَج#noun	pastry	5	5	5	5
13	53.85%	46.15%	فَرَّع#verb	ramify	4	4	3	4
13	92.31%	7.69%	فَرَم#verb	chop_up;grind	1	1	2	1
13	76.92%	23.08%	فِرْمان#noun	firman_(Ottoman_decree/edict)	5	5	5	5
13	100.00%	0.00%	فُساء#noun	silent_farting	3	2	2	2
13	0.00%	100.00%	فَنْتازِيا#noun	luxury;fantasia	5	5	5	5
13	7.69%	92.31%	قانُونِيَّة#noun	legality;lawfulness	5	5	4	5
13	92.31%	7.69%	قَبَر#verb	bury	5	4	4	4
13	92.31%	7.69%	قَرِب#verb	approach;draw_near;approximate	3	3	3	3
13	100.00%	0.00%	قِرْدِيّ#adj	simian;monkey	3	3	3	3
13	100.00%	0.00%	قَسامَة#noun	beauty	5	5	5	5
13	0.00%	100.00%	قَسْطَر#noun	catheters	5	5	5	5
13	92.31%	7.69%	قَصِي#verb	be_distant	5	5	4	5
13	53.85%	46.15%	قَضّ#noun	gravel	5	5	5	5
13	100.00%	0.00%	قُلامَة#noun	clippings;shavings	5	4	5	5
13	76.92%	23.08%	قَلَّة#noun	recovery	5	5	5	5
13	84.62%	15.38%	قَمْحِيّ#adj	wheat	3	2	2	2
13	100.00%	0.00%	قِمَطْر#noun	satchels#satchel	5	5	5	5
13	76.92%	23.08%	قَوّام#noun	manager;guardian	5	4	4	4
13	92.31%	7.69%	قَوَّت#verb	support;nourish;sustain	5	5	5	5
13	15.38%	84.62%	كِراء#noun	rent;renting	5	5	5	5
13	100.00%	0.00%	كَرَب#verb	oppress;worry	5	4	4	4
13	0.00%	100.00%	كَرِير#noun	rattling_in_the_throat	5	5	5	5
13	100.00%	0.00%	كَمَنْجا#noun	kamanja_(three_stringed_fiddle)	4	4	3	4
13	84.62%	15.38%	كَنَى#verb	allude_to;express_indirectly;nickname	5	5	5	5
13	7.69%	92.31%	كُوبُون#noun	coupon	4	3	4	4
13	23.08%	76.92%	كُورال#noun	choir	3	3	4	3
13	92.31%	7.69%	لاس#verb	taste	5	5	5	5
13	38.46%	61.54%	لاشَيْء#noun	nothingness;nonexistence	2	1	1	1
13	84.62%	15.38%	لَبَق#noun	adroitness;decorum	5	5	4	5
13	84.62%	15.38%	لَحَف#verb	wrap;cover	5	3	1	3
13	76.92%	23.08%	لَغا#verb	speak_nonsense;be_null	5	5	5	5
13	84.62%	15.38%	لُغْد#noun	chin	4	4	3	4
13	100.00%	0.00%	لَفِيفَة#noun	bundle;package	5	4	4	4
13	69.23%	30.77%	لُقَيْمَة#noun	snack;small_bite	5	4	5	5
13	76.92%	23.08%	ماسِك#adj	grabbing	4	4	5	4
13	100.00%	0.00%	مَبْلُول#noun	wet;drenched	1	1	1	1
13	0.00%	100.00%	مُتاح#noun	available_goods	5	5	4	5
13	0.00%	100.00%	مُتَحَصِّل#noun	proceeds;yield	5	5	4	5
13	76.92%	23.08%	مُتَراخِي#adj	languid;indolent	4	4	4	4
13	0.00%	100.00%	مُتَعاطِف#noun	sympathizer	4	4	3	4
13	30.77%	69.23%	مُتَعَنِّت#adj	obstinate;stubborn	5	5	5	5
13	84.62%	15.38%	مُتَعَوِّد#adj	accustomed;habituated	2	1	1	1
13	7.69%	92.31%	مُتَفَرِّقات#noun	miscellany	5	5	5	5
13	23.08%	76.92%	مُتَفَشِّي#adj	spread;endemic	5	4	5	5
